Time (s),Signal (V),Peak Time (s) ,Sample #,Type
00.000,3.121587482,00.620,310,N
00.002,2.746908496,00.858,429,t
00.004,2.818962147,01.546,773,N
00.006,2.487515351,01.788,894,t
00.008,2.242532937,02.564,1282,N
00.010,2.228122207,02.790,1395,t
00.012,1.896675411,03.490,1745,N
00.014,2.300175858,03.730,1865,t
00.016,2.761319226,04.318,2159,N
00.018,3.092766022,04.538,2269,t
00.020,3.251284054,05.054,2527,N
00.022,3.02071237,05.278,2639,t
00.024,2.790140687,05.782,2891,N
00.026,2.545158272,06.028,3014,t
00.028,2.170479286,06.722,3361,N
00.030,2.242532937,06.966,3483,t
00.032,2.343408049,07.796,3898,N
00.034,2.545158272,08.034,4017,t
00.036,2.847783608,08.872,4436,N
00.038,3.035123101,09.110,4555,t
00.040,3.380980627,,,
00.042,3.251284054,,,
00.044,2.674854845,,,
00.046,2.617211924,,,
00.048,2.372229509,,,
00.050,2.242532937,,,
00.052,2.242532937,,,
00.054,2.156068556,,,
00.056,2.674854845,,,
00.058,3.049533831,,,
00.060,3.280105515,,,
00.062,3.294516245,,,
00.064,2.948658719,,,
00.066,2.473104621,,,
00.068,2.285765128,,,
00.070,2.112836365,,,
00.072,1.867853951,,,
00.074,1.997550523,,,
00.076,2.862194338,,,
00.078,2.963069449,,,
00.080,3.135998212,,,
00.082,3.222462594,,,
00.084,2.905426528,,,
00.086,2.516336812,,,
00.088,2.069604174,,,
00.090,2.055193444,,,
00.092,2.271354398,,,
00.094,2.256943667,,,
00.096,2.891015798,,,
00.098,2.862194338,,,
00.100,3.02071237,,,
00.102,2.99189091,,,
00.104,3.063944561,,,
00.106,2.602801193,,,
00.108,2.112836365,,,
00.110,2.112836365,,,
00.112,2.314586588,,,
00.114,2.444283161,,,
00.116,2.804551417,,,
00.118,3.135998212,,,
00.120,3.222462594,,,
00.122,3.063944561,,,
00.124,2.847783608,,,
00.126,2.40105097,,,
00.128,2.300175858,,,
00.130,1.853443221,,,
00.132,2.040782714,,,
00.134,2.343408049,,,
00.136,2.905426528,,,
00.138,3.251284054,,,
00.140,2.919837259,,,
00.142,2.818962147,,,
00.144,2.530747542,,,
00.146,2.069604174,,,
00.148,2.011961253,,,
00.150,1.954318332,,,
00.152,2.40105097,,,
00.154,2.357818779,,,
00.156,2.761319226,,,
00.158,3.121587482,,,
00.160,3.208051864,,,
00.162,3.049533831,,,
00.164,2.660444114,,,
00.166,2.458693891,,,
00.168,2.285765128,,,
00.170,1.853443221,,,
00.172,2.314586588,,,
00.174,2.660444114,,,
00.176,2.804551417,,,
00.178,3.035123101,,,
00.180,3.294516245,,,
00.182,2.487515351,,,
00.184,2.300175858,,,
00.186,1.997550523,,,
00.188,2.184890016,,,
00.190,2.328997319,,,
00.192,2.242532937,,,
00.194,2.458693891,,,
00.196,2.891015798,,,
00.198,3.265694785,,,
00.200,3.193641133,,,
00.202,2.97748018,,,
00.204,2.199300746,,,
00.206,2.271354398,,,
00.208,2.343408049,,,
00.210,2.084014904,,,
00.212,2.271354398,,,
00.214,2.516336812,,,
00.216,2.732497766,,,
00.218,2.934247989,,,
00.220,2.862194338,,,
00.222,2.775729956,,,
00.224,2.602801193,,,
00.226,2.285765128,,,
00.228,2.026371983,,,
00.230,2.156068556,,,
00.232,2.372229509,,,
00.234,2.660444114,,,
00.236,2.746908496,,,
00.238,2.862194338,,,
00.240,2.746908496,,,
00.242,2.775729956,,,
00.244,2.516336812,,,
00.246,2.314586588,,,
00.248,1.925496872,,,
00.250,2.069604174,,,
00.252,2.38664024,,,
00.254,2.602801193,,,
00.256,2.862194338,,,
00.258,3.380980627,,,
00.260,3.424212817,,,
00.262,2.718087035,,,
00.264,2.285765128,,,
00.266,2.156068556,,,
00.268,2.098425635,,,
00.270,1.925496872,,,
00.272,2.314586588,,,
00.274,2.775729956,,,
00.276,3.092766022,,,
00.278,2.847783608,,,
00.280,2.862194338,,,
00.282,2.790140687,,,
00.284,2.285765128,,,
00.286,2.055193444,,,
00.288,2.184890016,,,
00.290,2.228122207,,,
00.292,2.444283161,,,
00.294,2.718087035,,,
00.296,2.905426528,,,
00.298,3.222462594,,,
00.300,3.352159166,,,
00.302,2.660444114,,,
00.304,2.38664024,,,
00.306,2.271354398,,,
00.308,2.040782714,,,
00.310,1.896675411,,,
00.312,2.38664024,,,
00.314,2.646033384,,,
00.316,3.00630164,,,
00.318,3.02071237,,,
00.320,2.934247989,,,
00.322,2.458693891,,,
00.324,2.055193444,,,
00.326,1.983139793,,,
00.328,2.228122207,,,
00.330,2.127247095,,,
00.332,2.213711477,,,
00.334,2.790140687,,,
00.336,3.294516245,,,
00.338,3.035123101,,,
00.340,2.761319226,,,
00.342,2.775729956,,,
00.344,2.228122207,,,
00.346,1.752568109,,,
00.348,2.055193444,,,
00.350,1.968729062,,,
00.352,2.228122207,,,
00.354,2.862194338,,,
00.356,3.063944561,,,
00.358,3.193641133,,,
00.360,2.847783608,,,
00.362,2.718087035,,,
00.364,2.501926082,,,
00.366,2.040782714,,,
00.368,1.896675411,,,
00.370,2.213711477,,,
00.372,2.559569003,,,
00.374,2.775729956,,,
00.376,2.97748018,,,
00.378,3.063944561,,,
00.380,2.948658719,,,
00.382,2.833372877,,,
00.384,2.631622654,,,
00.386,2.38664024,,,
00.388,1.939907602,,,
00.390,1.896675411,,,
00.392,2.4154617,,,
00.394,2.631622654,,,
00.396,2.847783608,,,
00.398,2.818962147,,,
00.400,2.718087035,,,
00.402,2.516336812,,,
00.404,2.141657825,,,
00.406,1.738157379,,,
00.408,2.069604174,,,
00.410,2.300175858,,,
00.412,2.170479286,,,
00.414,2.919837259,,,
00.416,3.222462594,,,
00.418,3.208051864,,,
00.420,3.00630164,,,
00.422,2.718087035,,,
00.424,2.285765128,,,
