Time (s),Signal (V),Peak Time (s),Sample #,Type
00.000,2.448304567,00.546,273,N
00.002,2.409555485,00.794,397,t
00.004,2.347556955,01.480,740,N
00.006,2.184810813,01.716,858,t
00.008,2.099562834,02.390,1195,N
00.010,2.022064672,02.630,1315,t
00.012,2.084063202,03.196,1598,N
00.014,2.153811548,03.444,1722,t
00.016,2.293308241,03.928,1964,N
00.018,2.463804199,04.178,2089,t
00.020,2.456054383,04.610,2305,N
00.022,2.417305302,04.852,2426,t
00.024,2.347556955,05.264,2632,N
00.026,2.208060262,05.504,2752,t
00.028,2.04531412,05.902,2951,N
00.030,2.006565039,06.136,3068,t
00.032,2.122812283,06.552,3276,N
00.034,2.177060997,06.794,3397,t
00.036,2.293308241,07.228,3614,N
00.038,2.355306771,07.480,3740,t
00.040,2.456054383,,,
00.042,2.370806404,,,
00.044,2.332057323,,,
00.046,2.231309711,,,
00.048,2.037564304,,,
00.050,2.037564304,,,
00.052,2.060813753,,,
00.054,2.161561364,,,
00.056,2.293308241,,,
00.058,2.386306036,,,
00.060,2.448304567,,,
00.062,2.370806404,,,
00.064,2.270058792,,,
00.066,2.153811548,,,
00.068,2.037564304,,,
00.070,2.04531412,,,
00.072,2.060813753,,,
00.074,2.161561364,,,
00.076,2.339807139,,,
00.078,2.448304567,,,
00.080,2.339807139,,,
00.082,2.332057323,,,
00.084,2.270058792,,,
00.086,2.146061732,,,
00.088,2.006565039,,,
00.090,2.014314855,,,
00.092,2.084063202,,,
00.094,2.115062467,,,
00.096,2.293308241,,,
00.098,2.347556955,,,
00.100,2.401805669,,,
00.102,2.37855622,,,
00.104,2.31655769,,,
00.106,2.084063202,,,
00.108,1.929066876,,,
00.110,2.014314855,,,
00.112,2.076313385,,,
00.114,2.161561364,,,
00.116,2.270058792,,,
00.118,2.339807139,,,
00.120,2.31655769,,,
00.122,2.308807874,,,
00.124,2.270058792,,,
00.126,2.068563569,,,
00.128,1.960066141,,,
00.130,1.98331559,,,
00.132,2.014314855,,,
00.134,2.122812283,,,
00.136,2.277808609,,,
00.138,2.386306036,,,
00.140,2.347556955,,,
00.142,2.324307506,,,
00.144,2.208060262,,,
00.146,2.029814488,,,
00.148,1.952316325,,,
00.150,1.975565774,,,
00.152,2.037564304,,,
00.154,2.169311181,,,
00.156,2.301058057,,,
00.158,2.332057323,,,
00.160,2.332057323,,,
00.162,2.293308241,,,
00.164,2.215810078,,,
00.166,2.04531412,,,
00.168,1.929066876,,,
00.170,1.929066876,,,
00.172,2.022064672,,,
00.174,2.161561364,,,
00.176,2.293308241,,,
00.178,2.355306771,,,
00.180,2.347556955,,,
00.182,2.25455916,,,
00.184,2.130562099,,,
00.186,2.037564304,,,
00.188,1.944566509,,,
00.190,1.960066141,,,
00.192,2.022064672,,,
00.194,2.208060262,,,
00.196,2.301058057,,,
00.198,2.347556955,,,
00.200,2.332057323,,,
00.202,2.262308976,,,
00.204,2.177060997,,,
00.206,2.014314855,,,
00.208,1.944566509,,,
00.210,1.991065406,,,
00.212,2.060813753,,,
00.214,2.122812283,,,
00.216,2.339807139,,,
00.218,2.347556955,,,
00.220,2.277808609,,,
00.222,2.231309711,,,
00.224,2.115062467,,,
00.226,1.991065406,,,
00.228,1.92131706,,,
00.230,1.913567244,,,
00.232,2.006565039,,,
00.234,2.161561364,,,
00.236,2.293308241,,,
00.238,2.355306771,,,
00.240,2.332057323,,,
00.242,2.301058057,,,
00.244,2.099562834,,,
00.246,1.991065406,,,
00.248,1.944566509,,,
00.250,1.92131706,,,
00.252,2.053063937,,,
00.254,2.146061732,,,
00.256,2.324307506,,,
00.258,2.363056588,,,
00.260,2.31655769,,,
00.262,2.239059527,,,
00.264,2.091813018,,,
00.266,1.991065406,,,
