Time (s),Signal (V),Peak Time (s) ,Sample #,Type
00.000,2.654505658,00.478,239,N
00.002,2.213348955,00.728,364,t
00.004,2.496949693,01.268,634,N
00.006,2.552094281,01.514,757,t
00.008,2.615116667,02.132,1066,N
00.010,2.772672632,02.372,1186,t
00.012,2.819939422,02.982,1491,N
00.014,3.016884379,03.236,1618,t
00.016,3.016884379,03.846,1923,N
00.018,2.772672632,04.098,2049,t
00.020,2.512705289,04.698,2349,N
00.022,2.315760332,04.958,2479,t
00.024,2.512705289,05.550,2775,N
00.026,2.583605474,05.808,2904,t
00.028,2.622994465,06.364,3182,N
00.030,2.772672632,06.614,3307,t
00.032,2.780550431,07.174,3587,N
00.034,3.016884379,07.432,3716,t
00.036,2.993250984,07.966,3983,N
00.038,2.804183826,08.212,4106,t
00.040,2.583605474,,,
00.042,2.378782719,,,
00.044,2.489071895,,,
00.046,2.544216482,,,
00.048,2.69389465,,,
00.050,2.756917036,,,
00.052,2.796306027,,,
00.054,3.040517774,,,
00.056,2.985373186,,,
00.058,2.709650246,,,
00.060,2.512705289,,,
00.062,2.268493543,,,
00.064,2.528460886,,,
00.066,2.536338684,,,
00.068,2.678139053,,,
00.070,2.780550431,,,
00.072,2.804183826,,,
00.074,3.032639976,,,
00.076,2.953861993,,,
00.078,2.812061624,,,
00.080,2.481194096,,,
00.082,2.244860148,,,
00.084,2.489071895,,,
00.086,2.457560701,,,
00.088,2.512705289,,,
00.090,2.749039238,,,
00.092,2.812061624,,,
00.094,3.048395572,,,
00.096,2.9223508,,,
00.098,2.764794834,,,
00.100,2.544216482,,,
00.102,2.260615744,,,
00.104,2.552094281,,,
00.106,2.473316298,,,
00.108,2.662383457,,,
00.110,2.630872263,,,
00.112,2.717528045,,,
00.114,3.040517774,,,
00.116,2.930228598,,,
00.118,2.725405843,,,
00.120,2.449682903,,,
00.122,2.323638131,,,
00.124,2.520583088,,,
00.126,2.544216482,,,
00.128,2.64662786,,,
00.130,2.756917036,,,
00.132,2.709650246,,,
00.134,3.032639976,,,
00.136,2.851450615,,,
00.138,2.709650246,,,
00.140,2.394538315,,,
00.142,2.363027122,,,
00.144,2.559972079,,,
00.146,2.489071895,,,
00.148,2.575727676,,,
00.150,2.678139053,,,
00.152,2.764794834,,,
00.154,3.024762177,,,
00.156,2.867206212,,,
00.158,2.69389465,,,
00.160,2.355149324,,,
00.162,2.363027122,,,
00.164,2.552094281,,,
00.166,2.504827491,,,
00.168,2.567849877,,,
00.170,2.701772448,,,
00.172,2.725405843,,,
00.174,3.05627337,,,
00.176,2.914473001,,,
00.178,2.709650246,,,
00.180,2.378782719,,,
00.182,2.363027122,,,
00.184,2.481194096,,,
00.186,2.520583088,,,
00.188,2.670261255,,,
00.190,2.725405843,,,
00.192,2.851450615,,,
00.194,2.993250984,,,
00.196,2.835695019,,,
00.198,2.725405843,,,
00.200,2.339393727,,,
00.202,2.323638131,,,
00.204,2.559972079,,,
00.206,2.552094281,,,
00.208,2.686016851,,,
00.210,2.749039238,,,
00.212,2.882961808,,,
00.214,3.032639976,,,
00.216,2.82781722,,,
00.218,2.69389465,,,
00.220,2.300004736,,,
00.222,2.496949693,,,
00.224,2.615116667,,,
00.226,2.638750062,,,
00.228,2.59936107,,,
00.230,2.756917036,,,
00.232,2.938106396,,,
00.234,2.953861993,,,
00.236,2.701772448,,,
00.238,2.622994465,,,
00.240,2.315760332,,,
00.242,2.496949693,,,
00.244,2.504827491,,,
00.246,2.528460886,,,
00.248,2.59936107,,,
00.250,2.772672632,,,
00.252,2.914473001,,,
00.254,2.985373186,,,
00.256,2.717528045,,,
00.258,2.64662786,,,
00.260,2.315760332,,,
00.262,2.433927307,,,
00.264,2.559972079,,,
00.266,2.59936107,,,
00.268,2.686016851,,,
00.270,2.709650246,,,
00.272,2.898717405,,,
00.274,2.961739791,,,
00.276,2.749039238,,,
00.278,2.567849877,,,
00.280,2.252737946,,,
00.282,2.449682903,,,
00.284,2.441805105,,,
00.286,2.575727676,,,
00.288,2.678139053,,,
00.290,2.733283641,,,
00.292,2.969617589,,,
00.294,2.9223508,,,
00.296,2.756917036,,,
00.298,2.583605474,,,
00.300,2.205471157,,,
00.302,2.481194096,,,
00.304,2.528460886,,,
00.306,2.552094281,,,
00.308,2.772672632,,,
00.310,2.749039238,,,
00.312,3.032639976,,,
00.314,3.048395572,,,
00.316,2.796306027,,,
00.318,2.559972079,,,
00.320,2.307882534,,,
00.322,2.583605474,,,
00.324,2.607238869,,,
00.326,2.678139053,,,
00.328,2.843572817,,,
00.330,2.843572817,,,
00.332,3.064151169,,,
00.334,3.016884379,,,
00.336,2.867206212,,,
00.338,2.591483272,,,
00.340,2.386660517,,,
00.342,2.654505658,,,
00.344,2.686016851,,,
00.346,2.756917036,,,
00.348,2.9223508,,,
00.350,2.930228598,,,
00.352,3.127173555,,,
00.354,3.127173555,,,
00.356,2.890839607,,,
00.358,2.622994465,,,
00.360,2.410293912,,,
00.362,2.64662786,,,
00.364,2.678139053,,,
00.366,2.764794834,,,
00.368,2.82781722,,,
00.370,2.867206212,,,
00.372,3.119295757,,,
00.374,3.032639976,,,
00.376,2.843572817,,,
00.378,2.591483272,,,
00.380,2.331515929,,,
00.382,2.59936107,,,
00.384,2.630872263,,,
00.386,2.741161439,,,
00.388,2.780550431,,,
00.390,2.796306027,,,
00.392,3.024762177,,,
00.394,3.001128783,,,
00.396,2.796306027,,,
00.398,2.457560701,,,
00.400,2.205471157,,,
00.402,2.512705289,,,
00.404,2.552094281,,,
00.406,2.678139053,,,
00.408,2.749039238,,,
00.410,2.764794834,,,
00.412,3.024762177,,,
00.414,2.87508401,,,
00.416,2.622994465,,,
00.418,2.512705289,,,
00.420,2.386660517,,,
00.422,2.552094281,,,
00.424,2.457560701,,,
00.426,2.552094281,,,
00.428,2.678139053,,,
00.430,2.678139053,,,
00.432,2.953861993,,,
00.434,2.835695019,,,
00.436,2.64662786,,,
00.438,2.378782719,,,
00.440,2.284249139,,,
00.442,2.473316298,,,
00.444,2.410293912,,,
00.446,2.536338684,,,
00.448,2.591483272,,,
00.450,2.552094281,,,
00.452,2.819939422,,,
00.454,2.630872263,,,
00.456,2.457560701,,,
00.458,2.071548586,,,
00.460,2.18971556,,,
00.462,2.363027122,,,
00.464,2.386660517,,,
00.466,2.64662786,,,
00.468,2.985373186,,,
00.470,3.142929151,,,
00.472,3.584085855,,,
00.474,3.718008426,,,
00.476,3.812542005,,,
00.478,3.639230443,,,
00.480,3.907075584,,,
00.482,4.033120357,,,
00.484,3.970097971,,,
00.486,3.977975769,,,
00.488,4.056753752,,,
00.490,3.970097971,,,
00.492,3.938586777,,,
00.494,3.631352645,,,
00.496,3.253218327,,,
00.498,2.796306027,,,
00.500,2.733283641,,,
00.502,2.622994465,,,
00.504,2.449682903,,,
00.506,2.630872263,,,
00.508,2.607238869,,,
00.510,2.686016851,,,
00.512,2.843572817,,,
00.514,2.512705289,,,
00.516,2.481194096,,,
00.518,2.024281796,,,
00.520,2.14244877,,,
00.522,2.229104551,,,
00.524,2.307882534,,,
00.526,2.410293912,,,
00.528,2.520583088,,,
00.530,2.686016851,,,
00.532,2.859328414,,,
00.534,2.575727676,,,
00.536,2.512705289,,,
00.538,2.103059779,,,
00.540,2.300004736,,,
00.542,2.426049508,,,
00.544,2.426049508,,,
00.546,2.583605474,,,
00.548,2.59936107,,,
00.550,2.749039238,,,
00.552,2.835695019,,,
00.554,2.654505658,,,
00.556,2.481194096,,,
00.558,2.173959963,,,
00.560,2.37090492,,,
00.562,2.449682903,,,
00.564,2.489071895,,,
00.566,2.583605474,,,
00.568,2.607238869,,,
00.570,2.764794834,,,
00.572,2.835695019,,,
00.574,2.670261255,,,
00.576,2.481194096,,,
00.578,2.134570972,,,
00.580,2.426049508,,,
00.582,2.504827491,,,
00.584,2.528460886,,,
00.586,2.662383457,,,
00.588,2.64662786,,,
