Time (s),Signal (V),Peak Time (s) ,Sample #,Type
00.000,2.098206471,00.488,244,N
00.002,1.8371068,00.744,372,t
00.004,1.559688401,01.336,668,N
00.006,1.731035059,01.578,789,t
00.008,1.8371068,02.132,1066,N
00.010,1.845266165,02.384,1192,t
00.012,2.032931553,02.954,1477,N
00.014,2.008453459,03.198,1599,t
00.016,2.261393765,03.808,1904,N
00.018,2.187959483,04.032,2016,t
00.020,2.065569012,04.594,2297,N
00.022,1.845266165,04.828,2414,t
00.024,1.535210306,05.426,2713,N
00.026,1.755513153,05.678,2839,t
00.028,1.804469342,06.212,3106,N
00.030,1.959497271,06.460,3230,t
00.032,2.057409647,07.044,3522,N
00.034,2.073728377,07.280,3640,t
00.036,2.26955313,07.820,3910,N
00.038,2.220596942,08.066,4033,t
00.040,2.073728377,,,
00.042,1.8371068,,,
00.044,1.543369671,,,
00.046,1.8371068,,,
00.048,1.869744259,,,
00.050,2.008453459,,,
00.052,2.041090918,,,
00.054,2.098206471,,,
00.056,2.342987412,,,
00.058,2.277712495,,,
00.060,2.090047106,,,
00.062,1.763672518,,,
00.064,1.510732212,,,
00.066,1.755513153,,,
00.068,1.869744259,,,
00.070,1.8371068,,,
00.072,2.139003295,,,
00.074,2.090047106,,,
00.076,2.342987412,,,
00.078,2.277712495,,,
00.080,2.000294095,,,
00.082,1.706556965,,,
00.084,1.584166495,,,
00.086,1.869744259,,,
00.088,1.796309977,,,
00.090,1.918700448,,,
00.092,2.024772189,,,
00.094,2.081887742,,,
00.096,2.326668683,,,
00.098,2.187959483,,,
00.100,2.073728377,,,
00.102,1.665760142,,,
00.104,1.494413483,,,
00.106,1.85342553,,,
00.108,1.85342553,,,
00.110,1.894222353,,,
00.112,2.016612824,,,
00.114,2.073728377,,,
00.116,2.351146777,,,
00.118,2.220596942,,,
00.120,2.032931553,,,
00.122,1.71471633,,,
00.124,1.57600713,,,
00.126,1.845266165,,,
00.128,1.869744259,,,
00.130,1.894222353,,,
00.132,2.016612824,,,
00.134,2.024772189,,,
00.136,2.196118847,,,
00.138,2.220596942,,,
00.140,2.081887742,,,
00.142,1.739194424,,,
00.144,1.690238236,,,
00.146,1.731035059,,,
00.148,1.788150612,,,
00.150,1.886062989,,,
00.152,1.99213473,,,
00.154,2.147162659,,,
00.156,2.359306142,,,
00.158,2.13084393,,,
00.160,1.959497271,,,
00.162,1.608644589,,,
00.164,1.673919506,,,
00.166,1.722875695,,,
00.168,1.861584895,,,
00.170,2.016612824,,,
00.172,2.024772189,,,
00.174,2.073728377,,,
00.176,2.285871859,,,
00.178,2.179800118,,,
00.180,2.049250283,,,
00.182,1.551529036,,,
00.184,1.673919506,,,
00.186,1.690238236,,,
00.188,1.828947436,,,
00.190,1.886062989,,,
00.192,2.032931553,,,
00.194,2.098206471,,,
00.196,2.359306142,,,
00.198,2.171640753,,,
00.200,2.016612824,,,
00.202,1.608644589,,,
00.204,1.747353789,,,
00.206,1.869744259,,,
00.208,1.877903624,,,
00.210,1.910541083,,,
00.212,2.049250283,,,
00.214,2.196118847,,,
00.216,2.294031224,,,
00.218,2.081887742,,,
00.220,1.861584895,,,
00.222,1.551529036,,,
00.224,1.861584895,,,
00.226,1.894222353,,,
00.228,1.828947436,,,
00.230,2.106365836,,,
00.232,2.081887742,,,
00.234,2.204278212,,,
00.236,2.245075036,,,
00.238,2.163481389,,,
00.240,2.016612824,,,
00.242,1.616803953,,,
00.244,1.796309977,,,
00.246,1.894222353,,,
00.248,1.967656636,,,
00.250,2.098206471,,,
00.252,2.049250283,,,
00.254,2.318509318,,,
00.256,2.367465506,,,
00.258,2.155322024,,,
00.260,1.886062989,,,
00.262,1.600485224,,,
00.264,1.828947436,,,
00.266,1.828947436,,,
00.268,1.845266165,,,
00.270,2.032931553,,,
00.272,2.163481389,,,
00.274,2.310349953,,,
00.276,2.2532344,,,
00.278,2.122684565,,,
00.280,1.894222353,,,
00.282,1.527050942,,,
00.284,1.845266165,,,
00.286,1.926859812,,,
00.288,1.983975365,,,
00.290,2.098206471,,,
00.292,2.122684565,,,
00.294,2.367465506,,,
00.296,2.318509318,,,
00.298,2.13084393,,,
00.300,1.877903624,,,
00.302,1.559688401,,,
00.304,1.845266165,,,
00.306,1.845266165,,,
00.308,2.032931553,,,
00.310,2.090047106,,,
00.312,2.236915671,,,
00.314,2.465377883,,,
00.316,2.351146777,,,
00.318,2.106365836,,,
00.320,1.935019177,,,
00.322,1.722875695,,,
00.324,2.032931553,,,
00.326,2.008453459,,,
00.328,2.032931553,,,
00.330,2.147162659,,,
00.332,2.236915671,,,
00.334,2.416421694,,,
00.336,2.359306142,,,
00.338,2.179800118,,,
00.340,1.894222353,,,
00.342,1.641282048,,,
00.344,1.983975365,,,
00.346,2.13084393,,,
00.348,2.106365836,,,
00.350,2.155322024,,,
00.352,2.302190589,,,
00.354,2.604087083,,,
00.356,2.465377883,,,
00.358,2.220596942,,,
00.360,1.99213473,,,
00.362,1.763672518,,,
00.364,2.081887742,,,
00.366,2.073728377,,,
00.368,2.147162659,,,
00.370,2.351146777,,,
00.372,2.310349953,,,
00.374,2.538812165,,,
00.376,2.400102965,,,
00.378,2.228756306,,,
00.380,1.951337906,,,
00.382,1.722875695,,,
00.384,2.057409647,,,
00.386,2.065569012,,,
00.388,2.081887742,,,
00.390,2.187959483,,,
00.392,2.26955313,,,
00.394,2.595927718,,,
00.396,2.367465506,,,
00.398,2.171640753,,,
00.400,1.804469342,,,
00.402,1.763672518,,,
00.404,1.918700448,,,
00.406,1.828947436,,,
00.408,2.049250283,,,
00.410,2.196118847,,,
00.412,2.139003295,,,
00.414,2.40826233,,,
00.416,2.220596942,,,
00.418,2.081887742,,,
00.420,1.788150612,,,
00.422,1.763672518,,,
00.424,1.85342553,,,
00.426,1.8371068,,,
00.428,1.869744259,,,
00.430,2.098206471,,,
00.432,2.13084393,,,
00.434,2.318509318,,,
00.436,2.26955313,,,
00.438,2.13084393,,,
00.440,1.71471633,,,
00.442,1.739194424,,,
00.444,1.828947436,,,
00.446,1.951337906,,,
00.448,2.016612824,,,
00.450,2.073728377,,,
00.452,2.1145252,,,
00.454,2.351146777,,,
00.456,2.073728377,,,
00.458,1.877903624,,,
00.460,1.502572848,,,
00.462,1.592325859,,,
00.464,1.690238236,,,
00.466,1.71471633,,,
00.468,1.722875695,,,
00.470,1.926859812,,,
00.472,2.106365836,,,
00.474,2.302190589,,,
00.476,2.236915671,,,
00.478,2.285871859,,,
00.480,2.122684565,,,
00.482,2.473537247,,,
00.484,2.881505483,,,
00.486,3.109967694,,,
00.488,3.452661012,,,
00.490,3.697441953,,,
00.492,3.893266706,,,
00.494,4.040135271,,,
00.496,3.770876235,,,
00.498,3.615848306,,,
00.500,3.093648965,,,
00.502,3.069170871,,,
00.504,2.914142941,,,
00.506,2.734636918,,,
00.508,2.644883906,,,
00.510,2.587768353,,,
00.512,2.481696612,,,
00.514,2.432740424,,,
00.516,2.179800118,,,
00.518,1.926859812,,,
00.520,1.551529036,,,
00.522,1.682078871,,,
00.524,1.682078871,,,
00.526,1.665760142,,,
00.528,1.779991248,,,
00.530,1.877903624,,,
00.532,2.065569012,,,
00.534,2.155322024,,,
00.536,1.983975365,,,
00.538,1.747353789,,,
00.540,1.469935389,,,
00.542,1.739194424,,,
00.544,1.845266165,,,
00.546,1.943178542,,,
00.548,2.000294095,,,
00.550,2.057409647,,,
00.552,2.228756306,,,
00.554,2.277712495,,,
00.556,2.1145252,,,
00.558,1.861584895,,,
00.560,1.535210306,,,
00.562,1.828947436,,,
00.564,1.845266165,,,
00.566,1.812628706,,,
00.568,2.081887742,,,
00.570,2.147162659,,,
00.572,2.171640753,,,
00.574,2.285871859,,,
00.576,2.049250283,,,
00.578,1.820788071,,,
00.580,1.535210306,,,
00.582,1.796309977,,,
00.584,1.910541083,,,
00.586,1.894222353,,,
00.588,2.008453459,,,
00.590,2.090047106,,,
00.592,2.326668683,,,
00.594,2.26955313,,,
00.596,2.090047106,,,
00.598,1.861584895,,,
00.600,1.57600713,,,
00.602,1.85342553,,,
00.604,1.910541083,,,
00.606,1.967656636,,,
00.608,2.147162659,,,
00.610,2.098206471,,,
00.612,2.26955313,,,
00.614,2.2532344,,,
00.616,2.155322024,,,
00.618,1.845266165,,,
00.620,1.673919506,,,
00.622,1.918700448,,,
00.624,1.910541083,,,
00.626,1.975816,,,
00.628,2.139003295,,,
00.630,2.212437577,,,
00.632,2.465377883,,,
00.634,2.326668683,,,
