Time (s),Signal (V),Peak Time (s) ,Sample #,Type
00.000,2.180459245,00.352,176,N
00.002,2.225804082,00.586,293,t
00.004,2.452528266,01.190,595,N
00.006,2.482758158,01.418,709,t
00.008,2.407183429,02.002,1001,N
00.010,2.376953538,02.232,1116,t
00.012,2.346723647,02.754,1377,N
00.014,2.256033973,02.972,1486,t
00.016,2.104884517,03.472,1736,N
00.018,2.104884517,03.698,1849,t
00.020,2.029309789,04.182,2091,N
00.022,2.180459245,04.406,2203,t
00.024,2.422298375,04.918,2459,N
00.026,2.497873103,05.132,2566,t
00.028,2.512988049,05.720,2860,N
00.030,2.482758158,05.946,2973,t
00.032,2.30137881,06.636,3318,N
00.034,2.1653443,06.866,3433,t
00.036,2.150229354,07.492,3746,N
00.038,2.180459245,07.722,3861,t
00.040,2.240919028,,,
00.042,2.256033973,,,
00.044,2.376953538,,,
00.046,2.512988049,,,
00.048,2.54321794,,,
00.050,2.407183429,,,
00.052,2.30137881,,,
00.054,1.953735061,,,
00.056,2.05953968,,,
00.058,2.180459245,,,
00.060,2.180459245,,,
00.062,2.346723647,,,
00.064,2.437413321,,,
00.066,2.467643212,,,
00.068,2.452528266,,,
00.070,2.452528266,,,
00.072,2.225804082,,,
00.074,2.1653443,,,
00.076,2.119999463,,,
00.078,2.029309789,,,
00.080,2.089769571,,,
00.082,2.346723647,,,
00.084,2.452528266,,,
00.086,2.452528266,,,
00.088,2.376953538,,,
00.090,2.240919028,,,
00.092,2.225804082,,,
00.094,2.240919028,,,
00.096,2.119999463,,,
00.098,2.05953968,,,
00.100,2.150229354,,,
00.102,2.361838593,,,
00.104,2.482758158,,,
00.106,2.482758158,,,
00.108,2.452528266,,,
00.110,2.361838593,,,
00.112,2.240919028,,,
00.114,2.119999463,,,
00.116,2.05953968,,,
00.118,2.150229354,,,
00.120,2.150229354,,,
00.122,2.286263864,,,
00.124,2.346723647,,,
00.126,2.316493756,,,
00.128,2.376953538,,,
00.130,2.392068484,,,
00.132,2.195574191,,,
00.134,2.150229354,,,
00.136,2.104884517,,,
00.138,2.089769571,,,
00.140,2.104884517,,,
00.142,2.331608701,,,
00.144,2.437413321,,,
00.146,2.497873103,,,
00.148,2.452528266,,,
00.150,2.331608701,,,
00.152,2.180459245,,,
00.154,2.210689136,,,
00.156,2.119999463,,,
00.158,2.119999463,,,
00.160,2.225804082,,,
00.162,2.437413321,,,
00.164,2.618792668,,,
00.166,2.649022559,,,
00.168,2.482758158,,,
00.170,2.376953538,,,
00.172,2.30137881,,,
00.174,2.256033973,,,
00.176,2.044424735,,,
00.178,2.256033973,,,
00.180,2.331608701,,,
00.182,2.528102994,,,
00.184,2.588562777,,,
00.186,2.558332886,,,
00.188,2.528102994,,,
00.190,2.528102994,,,
00.192,2.316493756,,,
00.194,2.271148919,,,
00.196,2.376953538,,,
00.198,2.316493756,,,
00.200,2.422298375,,,
00.202,2.664137505,,,
00.204,2.709482342,,,
00.206,2.664137505,,,
00.208,2.452528266,,,
00.210,2.437413321,,,
00.212,2.30137881,,,
00.214,2.240919028,,,
00.216,2.135114408,,,
