Time (s),Signal (V),Peak Time (s),Sample #,Type
00.000,2.190566453,00.766,383,N
00.002,2.139884601,00.968,484,t
00.004,2.241248306,01.546,773,N
00.006,2.127214138,01.772,886,t
00.008,2.507328031,02.344,1172,N
00.010,3.039487481,02.570,1285,t
00.012,2.735396367,03.146,1573,N
00.014,2.469316642,03.380,1690,t
00.016,2.58335081,03.892,1946,N
00.018,2.874771461,04.102,2051,t
00.020,2.608691736,04.606,2303,N
00.022,2.456646178,04.818,2409,t
00.024,2.3806234,05.324,2662,N
00.026,2.532668957,05.548,2774,t
00.028,2.786078219,06.062,3031,N
00.030,3.039487481,06.272,3136,t
00.032,2.684714514,06.858,3429,N
00.034,2.418634789,07.082,3541,t
00.036,2.355282474,07.678,3839,N
00.038,2.355282474,07.904,3952,t
00.040,2.443975715,,,
00.042,2.393293863,,,
00.044,2.481987105,,,
00.046,2.596021273,,,
00.048,2.798748682,,,
00.050,2.697384977,,,
00.052,2.570680346,,,
00.054,2.342612011,,,
00.056,2.367952937,,,
00.058,2.443975715,,,
00.060,2.646703125,,,
00.062,2.786078219,,,
00.064,2.684714514,,,
00.066,2.760737293,,,
00.068,2.608691736,,,
00.070,2.621362199,,,
00.072,2.710055441,,,
00.074,2.634032662,,,
00.076,2.431305252,,,
00.078,2.3806234,,,
00.080,2.253918769,,,
00.082,2.507328031,,,
00.084,2.773407756,,,
00.086,2.91278285,,,
00.088,3.026817018,,,
00.090,2.91278285,,,
00.092,2.697384977,,,
00.094,2.621362199,,,
00.096,2.697384977,,,
00.098,2.58335081,,,
00.100,2.621362199,,,
00.102,2.608691736,,,
00.104,2.798748682,,,
00.106,2.950794239,,,
00.108,2.760737293,,,
00.110,2.494657568,,,
00.112,2.494657568,,,
00.114,2.494657568,,,
00.116,2.317271084,,,
00.118,2.608691736,,,
00.120,3.064828407,,,
00.122,2.697384977,,,
00.124,2.887441924,,,
00.126,3.026817018,,,
00.128,2.963464703,,,
00.130,2.887441924,,,
00.132,2.786078219,,,
00.134,2.887441924,,,
00.136,2.836760072,,,
00.138,2.735396367,,,
00.140,2.773407756,,,
00.142,2.646703125,,,
00.144,2.722725904,,,
00.146,2.91278285,,,
00.148,3.014146555,,,
00.150,2.963464703,,,
00.152,2.887441924,,,
00.154,2.824089608,,,
00.156,2.760737293,,,
00.158,2.735396367,,,
00.160,2.824089608,,,
00.162,3.064828407,,,
00.164,3.191533038,,,
00.166,3.166192112,,,
00.168,3.330908133,,,
00.170,3.368919522,,,
00.172,3.204203502,,,
00.174,3.178862575,,,
00.176,2.950794239,,,
00.178,2.900112387,,,
00.180,3.052157944,,,
00.182,3.356249059,,,
00.184,3.204203502,,,
00.186,2.976135166,,,
00.188,2.988805629,,,
00.190,3.216873965,,,
00.192,3.64766971,,,
00.194,3.533635542,,,
00.196,3.166192112,,,
00.198,3.07749887,,,
00.200,3.191533038,,,
00.202,3.242214891,,,
00.204,3.204203502,,,
00.206,3.07749887,,,
00.208,3.368919522,,,
00.210,3.432271837,,,
00.212,3.140851186,,,
00.214,3.204203502,,,
00.216,3.267555817,,,
00.218,3.267555817,,,
00.220,3.140851186,,,
00.222,3.140851186,,,
00.224,3.191533038,,,
00.226,3.242214891,,,
00.228,3.128180723,,,
00.230,2.925453313,,,
00.232,2.887441924,,,
00.234,2.836760072,,,
00.236,2.634032662,,,
00.238,2.722725904,,,
00.240,3.102839797,,,
00.242,3.026817018,,,
00.244,2.824089608,,,
00.246,2.862100998,,,
00.248,2.811419145,,,
00.250,2.887441924,,,
00.252,2.735396367,,,
00.254,2.507328031,,,
00.256,2.291930158,,,
00.258,2.3806234,,,
00.260,2.672044051,,,
00.262,2.811419145,,,
