Time (s),Signal (V),Peak Time (s) ,Sample #,Type
0.000,2.543059789,0.460,230,N
0.002,2.591386947,0.702,351,t
0.004,2.591386947,1.222,611,N
0.006,2.462514526,1.470,735,t
0.008,2.253096842,1.938,969,N
0.010,1.898697684,2.184,1092,t
0.012,1.818152421,2.660,1330,N
0.014,1.850370526,2.914,1457,t
0.016,1.947024842,3.450,1725,N
0.018,2.253096842,3.700,1850,t
0.020,2.510841684,4.300,2150,N
0.022,2.623605053,4.558,2279,t
0.024,2.639714105,5.060,2530,N
0.026,2.430296421,5.312,2656,t
0.028,2.188660632,5.858,2929,N
0.030,1.866479579,6.116,3058,t
0.032,1.818152421,6.724,3362,N
0.034,1.834261474,6.976,3488,t
0.036,1.995352,7.650,3825,N
0.038,2.285314947,7.896,3948,t
0.040,2.510841684,,,
0.042,2.639714105,,,
0.044,2.591386947,,,
0.046,2.446405474,,,
0.048,2.204769684,,,
0.050,1.914806737,,,
0.052,1.802043368,,,
0.054,1.850370526,,,
0.056,2.011461053,,,
0.058,2.301424,,,
0.060,2.543059789,,,
0.062,2.639714105,,,
0.064,2.607496,,,
0.066,2.446405474,,,
0.068,2.156442526,,,
0.070,1.882588632,,,
0.072,1.737607158,,,
0.074,1.818152421,,,
0.076,1.995352,,,
0.078,2.269205895,,,
0.080,2.543059789,,,
0.082,2.671932211,,,
0.084,2.607496,,,
0.086,2.430296421,,,
0.088,2.108115368,,,
0.090,1.898697684,,,
0.092,1.785934316,,,
0.094,1.882588632,,,
0.096,2.011461053,,,
0.098,2.317533053,,,
0.100,2.543059789,,,
0.102,2.671932211,,,
0.104,2.623605053,,,
0.106,2.446405474,,,
0.108,2.092006316,,,
0.110,1.866479579,,,
0.112,1.737607158,,,
0.114,1.850370526,,,
0.116,2.027570105,,,
0.118,2.365860211,,,
0.120,2.575277895,,,
0.122,2.639714105,,,
0.124,2.575277895,,,
0.126,2.414187368,,,
0.128,2.043679158,,,
0.130,1.850370526,,,
0.132,1.737607158,,,
0.134,1.850370526,,,
0.136,2.059788211,,,
0.138,2.398078316,,,
0.140,2.591386947,,,
0.142,2.591386947,,,
0.144,2.543059789,,,
0.146,2.349751158,,,
0.148,2.011461053,,,
0.150,1.818152421,,,
0.152,1.721498105,,,
0.154,1.850370526,,,
0.156,2.011461053,,,
0.158,2.381969263,,,
0.160,2.510841684,,,
0.162,2.607496,,,
0.164,2.543059789,,,
0.166,2.317533053,,,
0.168,2.027570105,,,
0.170,1.802043368,,,
0.172,1.802043368,,,
0.174,1.866479579,,,
0.176,2.059788211,,,
0.178,2.381969263,,,
0.180,2.559168842,,,
0.182,2.591386947,,,
0.184,2.462514526,,,
0.186,2.317533053,,,
0.188,1.963133895,,,
0.190,1.818152421,,,
0.192,1.785934316,,,
0.194,1.882588632,,,
0.196,2.059788211,,,
0.198,2.414187368,,,
0.200,2.575277895,,,
